Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Cleaned_Tokens,Filtered_Tokens,Lemmatized_Tokens,Dominant_Topic,Topic_Probability
19,19,19, Winter blues got me feeling low.                   , Negative  ,2023-01-20 15:15:00, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8.0,15.0, USA       ,2023,1,20,15,"['winter', 'blues', 'got', 'me', 'feeling', 'low']","['winter', 'blues', 'got', 'feeling', 'low']","['winter', 'blue', 'get', 'feel', 'low']",5,0.44145834
20,20,20, Sipping coffee and enjoying a good book.           , Positive  ,2023-01-21 08:40:00, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22.0,45.0, India    ,2023,1,21,8,"['sipping', 'coffee', 'and', 'enjoying', 'a', 'good', 'book']","['sipping', 'coffee', 'enjoying', 'good', 'book']","['sip', 'coffee', 'enjoy', 'good', 'book']",3,0.87835455
21,21,21, Exploring the world of virtual reality.            , Positive  ,2023-01-21 13:20:00, VRExplorer   , Facebook , #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13,"['exploring', 'the', 'world', 'of', 'virtual', 'reality']","['exploring', 'world', 'virtual', 'reality']","['explore', 'world', 'virtual', 'reality']",5,0.8383107
22,22,22, Productive day ticking off my to-do list.          , Positive  ,2023-01-21 16:45:00, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30.0,60.0, USA ,2023,1,21,16,"['productive', 'day', 'ticking', 'off', 'my', 'todo', 'list']","['productive', 'day', 'ticking', 'todo', 'list']","['productive', 'day', 'tick', 'todo', 'list']",4,0.7368477
23,23,23, Just finished a challenging workout routine.       , Positive  ,2023-01-22 09:15:00, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20.0,40.0, UK       ,2023,1,22,9,"['just', 'finished', 'a', 'challenging', 'workout', 'routine']","['finished', 'challenging', 'workout', 'routine']","['finish', 'challenge', 'workout', 'routine']",4,0.8413451
24,24,24, Celebrating a milestone at work! 🎉               , Positive  ,2023-01-22 14:30:00, CareerMilestone, Facebook , #Career #Milestone                      ,12.0,25.0, Canada  ,2023,1,22,14,"['celebrating', 'a', 'milestone', 'at', 'work']","['celebrating', 'milestone', 'work']","['celebrate', 'milestone', 'work']",4,0.57438964
25,25,25, Sunday brunch with friends.                        , Positive  ,2023-01-22 12:00:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15.0,30.0, UK ,2023,1,22,12,"['sunday', 'brunch', 'with', 'friends']","['sunday', 'brunch', 'friends']","['sunday', 'brunch', 'friend']",1,0.7248066
26,27,28, Learning a new language for personal growth.       , Positive  ,2023-01-23 16:20:00, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25.0,50.0, India     ,2023,1,23,16,"['learning', 'a', 'new', 'language', 'for', 'personal', 'growth']","['learning', 'new', 'language', 'personal', 'growth']","['learn', 'new', 'language', 'personal', 'growth']",1,0.8812379
27,28,29, Quiet evening with a good book.                    , Positive  ,2023-01-23 19:45:00, BookLover    , Instagram , #Reading #QuietTime                     ,15.0,30.0, Australia ,2023,1,23,19,"['quiet', 'evening', 'with', 'a', 'good', 'book']","['quiet', 'evening', 'good', 'book']","['quiet', 'even', 'good', 'book']",3,0.90527606
28,29,30, Reflecting on the importance of mental health.     , Positive  ,2023-01-24 11:30:00, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22.0,45.0, USA      ,2023,1,24,11,"['reflecting', 'on', 'the', 'importance', 'of', 'mental', 'health']","['reflecting', 'importance', 'mental', 'health']","['reflect', 'importance', 'mental', 'health']",5,0.7317873
29,30,31, New painting in progress! 🎨                       , Positive  ,2023-01-24 15:00:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12.0,25.0, Canada ,2023,1,24,15,"['new', 'painting', 'in', 'progress']","['new', 'painting', 'progress']","['new', 'painting', 'progress']",1,0.72485274
30,31,32, Weekend road trip to explore scenic views.         , Positive  ,2023-01-24 17:30:00, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18.0,35.0, UK        ,2023,1,24,17,"['weekend', 'road', 'trip', 'to', 'explore', 'scenic', 'views']","['weekend', 'road', 'trip', 'explore', 'scenic', 'views']","['weekend', 'road', 'trip', 'explore', 'scenic', 'view']",5,0.9098779
31,32,33, Enjoying a cup of tea and watching the sunset.     , Positive  ,2023-01-25 18:00:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15.0,30.0, India    ,2023,1,25,18,"['enjoying', 'a', 'cup', 'of', 'tea', 'and', 'watching', 'the', 'sunset']","['enjoying', 'cup', 'tea', 'watching', 'sunset']","['enjoy', 'cup', 'tea', 'watch', 'sunset']",3,0.8783299
32,33,34, Coding a new project with enthusiasm.              , Positive  ,2023-01-25 13:15:00, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30.0,60.0, USA ,2023,1,25,13,"['coding', 'a', 'new', 'project', 'with', 'enthusiasm']","['coding', 'new', 'project', 'enthusiasm']","['cod', 'new', 'project', 'enthusiasm']",1,0.8812546
33,34,35, Feeling inspired after attending a workshop.       , Positive  ,2023-01-26 09:45:00, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9,"['feeling', 'inspired', 'after', 'attending', 'a', 'workshop']","['feeling', 'inspired', 'attending', 'workshop']","['feel', 'inspire', 'attend', 'workshop']",5,0.83831656
34,35,36, Winter sports day at the local park.               , Positive  ,2023-01-26 14:20:00, WinterSports  , Twitter  , #WinterSports #Fun                     ,15.0,30.0, Canada   ,2023,1,26,14,"['winter', 'sports', 'day', 'at', 'the', 'local', 'park']","['winter', 'sports', 'day', 'local', 'park']","['winter', 'sport', 'day', 'local', 'park']",1,0.8811384
35,36,37, Quality time with family this weekend.             , Positive  ,2023-01-26 17:40:00, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22.0,45.0, UK        ,2023,1,26,17,"['quality', 'time', 'with', 'family', 'this', 'weekend']","['quality', 'time', 'family', 'weekend']","['quality', 'time', 'family', 'weekend']",1,0.8812271
36,37,38, Attending a live music concert tonight.            , Positive  ,2023-01-27 20:00:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18.0,35.0, USA ,2023,1,27,20,"['attending', 'a', 'live', 'music', 'concert', 'tonight']","['attending', 'live', 'music', 'concert', 'tonight']","['attend', 'live', 'music', 'concert', 'tonight']",5,0.9098766
37,38,39, Practicing mindfulness with meditation.            , Positive  ,2023-01-27 12:30:00, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15.0,30.0, India    ,2023,1,27,12,"['practicing', 'mindfulness', 'with', 'meditation']","['practicing', 'mindfulness', 'meditation']","['practice', 'mindfulness', 'meditation']",4,0.22940049
38,39,40, Trying out a new dessert recipe.                   , Positive  ,2023-01-27 16:10:00, DessertExplorer, Facebook , #Dessert #Cooking                      ,12.0,25.0, Canada ,2023,1,27,16,"['trying', 'out', 'a', 'new', 'dessert', 'recipe']","['trying', 'new', 'dessert', 'recipe']","['try', 'new', 'dessert', 'recipe']",1,0.8812629
39,40,41, Excited about the upcoming gaming tournament.      , Positive  ,2023-01-28 09:00:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9,"['excited', 'about', 'the', 'upcoming', 'gaming', 'tournament']","['excited', 'upcoming', 'gaming', 'tournament']","['excited', 'upcoming', 'gaming', 'tournament']",5,0.7318422
40,41,42, Planning a garden makeover for spring.             , Positive  ,2023-01-28 14:45:00, GardenPlanner , Twitter  , #Gardening #Spring                     ,25.0,50.0, USA      ,2023,1,28,14,"['planning', 'a', 'garden', 'makeover', 'for', 'spring']","['planning', 'garden', 'makeover', 'spring']","['plan', 'garden', 'makeover', 'spring']",4,0.73687124
41,42,43, Celebrating a friend's birthday tonight! 🎂       , Positive  ,2023-01-28 19:30:00, BirthdayBash , Facebook , #Birthday #Celebration                  ,15.0,30.0, UK ,2023,1,28,19,"['celebrating', 'a', 'friends', 'birthday', 'tonight']","['celebrating', 'friends', 'birthday', 'tonight']","['celebrate', 'friend', 'birthday', 'tonight']",4,0.8864312
42,43,44, Feeling accomplished after a productive day.       , Positive  ,2023-01-29 17:00:00, ProductivityWin, Instagram , #Accomplished #Success               ,22.0,45.0, India ,2023,1,29,17,"['feeling', 'accomplished', 'after', 'a', 'productive', 'day']","['feeling', 'accomplished', 'productive', 'day']","['feel', 'accomplished', 'productive', 'day']",5,0.83819914
43,44,45, A cozy evening with a good movie.                 , Positive  ,2023-01-29 20:20:00, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18.0,35.0, Canada   ,2023,1,29,20,"['a', 'cozy', 'evening', 'with', 'a', 'good', 'movie']","['cozy', 'evening', 'good', 'movie']","['cozy', 'even', 'good', 'movie']",3,0.87830746
44,45,46, Exploring local art galleries this weekend.        , Positive  ,2023-01-30 11:30:00, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15.0,30.0, USA      ,2023,1,30,11,"['exploring', 'local', 'art', 'galleries', 'this', 'weekend']","['exploring', 'local', 'art', 'galleries', 'weekend']","['explore', 'local', 'art', 'gallery', 'weekend']",1,0.9075283
45,46,47, New book release from my favorite author!          , Positive  ,2023-01-30 15:45:00, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12.0,25.0, UK   ,2023,1,30,15,"['new', 'book', 'release', 'from', 'my', 'favorite', 'author']","['new', 'book', 'release', 'favorite', 'author']","['new', 'book', 'release', 'favorite', 'author']",3,0.57314026
46,47,48, Attending a virtual reality meetup.                , Positive  ,2023-01-30 18:30:00, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28.0,55.0, India    ,2023,1,30,18,"['attending', 'a', 'virtual', 'reality', 'meetup']","['attending', 'virtual', 'reality', 'meetup']","['attend', 'virtual', 'reality', 'meetup']",5,0.7318331
47,48,49, Reflecting on the beauty of nature.                , Positive  ,2023-01-31 10:45:00, NatureLover  , Facebook , #Nature #Reflection                     ,15.0,30.0, Australia ,2023,1,31,10,"['reflecting', 'on', 'the', 'beauty', 'of', 'nature']","['reflecting', 'beauty', 'nature']","['reflect', 'beauty', 'nature']",2,0.8801306
48,49,50, Cooking a special dinner for loved ones.           , Positive  ,2023-01-31 19:00:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20.0,40.0, USA       ,2023,1,31,19,"['cooking', 'a', 'special', 'dinner', 'for', 'loved', 'ones']","['cooking', 'special', 'dinner', 'loved', 'ones']","['cook', 'special', 'dinner', 'love', 'one']",3,0.83002186
49,50,51, Feeling optimistic about the week ahead.           , Positive  ,2023-01-31 16:20:00, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15.0,30.0, Canada   ,2023,1,31,16,"['feeling', 'optimistic', 'about', 'the', 'week', 'ahead']","['feeling', 'optimistic', 'week', 'ahead']","['feel', 'optimistic', 'week', 'ahead']",5,0.8383179
50,51,52, Starting a new fitness challenge tomorrow! 💪     , Positive  ,2023-02-01 08:00:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22.0,45.0, UK         ,2023,2,1,8,"['starting', 'a', 'new', 'fitness', 'challenge', 'tomorrow']","['starting', 'new', 'fitness', 'challenge', 'tomorrow']","['start', 'new', 'fitness', 'challenge', 'tomorrow']",3,0.46617112
51,52,53, Sunday bike ride through scenic trails.           , Positive  ,2023-02-01 13:30:00, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18.0,35.0, USA     ,2023,2,1,13,"['sunday', 'bike', 'ride', 'through', 'scenic', 'trails']","['sunday', 'bike', 'ride', 'scenic', 'trails']","['sunday', 'bike', 'ride', 'scenic', 'trail']",2,0.7224154
52,53,55, Can't believe the injustice happening in our society., Anger        ,2023-02-11 09:30:00, SocialJustice   , Twitter  , #Injustice #Angry                            ,20.0,40.0, Canada     ,2023,2,11,9,"['cant', 'believe', 'the', 'injustice', 'happening', 'in', 'our', 'society']","['cant', 'believe', 'injustice', 'happening', 'society']","['cant', 'believe', 'injustice', 'happen', 'society']",4,0.22940049
53,54,56, Feeling a sense of fear after watching a thriller movie. , Fear         ,2023-02-11 21:15:00, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15.0,30.0, USA          ,2023,2,11,21,"['feeling', 'a', 'sense', 'of', 'fear', 'after', 'watching', 'a', 'thriller', 'movie']","['feeling', 'sense', 'fear', 'watching', 'thriller', 'movie']","['feel', 'sense', 'fear', 'watch', 'thriller', 'movie']",5,0.6007277
54,55,57, Heartbroken after hearing the news about a natural disaster. , Sadness      ,2023-02-12 14:45:00, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25.0,50.0, India      ,2023,2,12,14,"['heartbroken', 'after', 'hearing', 'the', 'news', 'about', 'a', 'natural', 'disaster']","['heartbroken', 'hearing', 'news', 'natural', 'disaster']","['heartbroken', 'hear', 'news', 'natural', 'disaster']",4,0.22940049
55,56,58, The state of the world's environment is just disgusting. , Disgust      ,2023-02-12 18:20:00, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18.0,35.0, UK         ,2023,2,12,18,"['the', 'state', 'of', 'the', 'worlds', 'environment', 'is', 'just', 'disgusting']","['state', 'worlds', 'environment', 'disgusting']","['state', 'world', 'environment', 'disgust']",5,0.8382978
56,57,59, Pure happiness: celebrating a loved one's achievement! , Happiness    ,2023-02-13 10:00:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30.0,60.0, USA ,2023,2,13,10,"['pure', 'happiness', 'celebrating', 'a', 'loved', 'ones', 'achievement']","['pure', 'happiness', 'celebrating', 'loved', 'ones', 'achievement']","['pure', 'happiness', 'celebrate', 'love', 'one', 'achievement']",3,0.48308676
57,58,60, Laughter is the best medicine—enjoying a comedy show. , Joy          ,2023-02-13 19:30:00, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22.0,45.0, Canada    ,2023,2,13,19,"['laughter', 'is', 'the', 'best', 'medicineenjoying', 'a', 'comedy', 'show']","['laughter', 'best', 'medicineenjoying', 'comedy', 'show']","['laughter', 'best', 'medicineenjoying', 'comedy', 'show']",4,0.841339
58,59,61, Sharing love and positive vibes with everyone! ❤️      , Love         ,2023-02-14 08:30:00, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,14,8,"['sharing', 'love', 'and', 'positive', 'vibes', 'with', 'everyone']","['sharing', 'love', 'positive', 'vibes', 'everyone']","['share', 'love', 'positive', 'vibe', 'everyone']",1,0.8811787
59,60,62, An amusing incident brightened up my day!               , Amusement    ,2023-02-14 14:20:00, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18.0,35.0, UK           ,2023,2,14,14,"['an', 'amusing', 'incident', 'brightened', 'up', 'my', 'day']","['amusing', 'incident', 'brightened', 'day']","['amuse', 'incident', 'brighten', 'day']",4,0.7368478
60,61,63, Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,2023-02-14 19:45:00, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25.0,50.0, Canada       ,2023,2,14,19,"['enjoying', 'a', 'quiet', 'evening', 'with', 'a', 'book', 'and', 'some', 'tea']","['enjoying', 'quiet', 'evening', 'book', 'tea']","['enjoy', 'quiet', 'even', 'book', 'tea']",3,0.90527743
61,62,64, Admiring the beauty of nature during a peaceful hike.   , Admiration   ,2023-02-15 11:30:00, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20.0,40.0, USA       ,2023,2,15,11,"['admiring', 'the', 'beauty', 'of', 'nature', 'during', 'a', 'peaceful', 'hike']","['admiring', 'beauty', 'nature', 'peaceful', 'hike']","['admire', 'beauty', 'nature', 'peaceful', 'hike']",2,0.8326515
62,63,65, Sending affectionate vibes to all my followers!          , Affection    ,2023-02-15 16:00:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2,15,16,"['sending', 'affectionate', 'vibes', 'to', 'all', 'my', 'followers']","['sending', 'affectionate', 'vibes', 'followers']","['send', 'affectionate', 'vibe', 'follower']",4,0.8413291
63,64,66, Experiencing awe at the breathtaking sunset.            , Awe          ,2023-02-15 20:30:00, AweStruck       , Facebook , #Awe #Breathtaking                          ,22.0,45.0, Australia   ,2023,2,15,20,"['experiencing', 'awe', 'at', 'the', 'breathtaking', 'sunset']","['experiencing', 'awe', 'breathtaking', 'sunset']","['experience', 'awe', 'breathtaking', 'sunset']",2,0.5957257
64,65,67, Disappointed with the service at a local restaurant.    , Disappointed ,2023-02-16 09:00:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18.0,35.0, India      ,2023,2,16,9,"['disappointed', 'with', 'the', 'service', 'at', 'a', 'local', 'restaurant']","['disappointed', 'service', 'local', 'restaurant']","['disappointed', 'service', 'local', 'restaurant']",2,0.72243726
65,66,68, A surprise gift from a friend made my day!              , Surprise     ,2023-02-16 14:45:00, HappySurprise   , Instagram , #Surprise #Gift                              ,25.0,50.0, USA          ,2023,2,16,14,"['a', 'surprise', 'gift', 'from', 'a', 'friend', 'made', 'my', 'day']","['surprise', 'gift', 'friend', 'made', 'day']","['surprise', 'gift', 'friend', 'make', 'day']",4,0.59401745
66,67,69, Finding acceptance in the midst of life's challenges.   , Acceptance   ,2023-02-16 18:20:00, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15.0,30.0, Canada     ,2023,2,16,18,"['finding', 'acceptance', 'in', 'the', 'midst', 'of', 'lifes', 'challenges']","['finding', 'acceptance', 'midst', 'lifes', 'challenges']","['find', 'acceptance', 'midst', 'life', 'challenge']",3,0.9224288
67,68,70, Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,2023-02-17 10:45:00, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22.0,45.0, UK        ,2023,2,17,10,"['overflowing', 'with', 'adoration', 'for', 'my', 'adorable', 'pet']","['overflowing', 'adoration', 'adorable', 'pet']","['overflow', 'adoration', 'adorable', 'pet']",5,0.73174393
68,69,71, Anticipating a thrilling adventure in the coming weeks. , Anticipation ,2023-02-17 07:30:00, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2,17,7,"['anticipating', 'a', 'thrilling', 'adventure', 'in', 'the', 'coming', 'weeks']","['anticipating', 'thrilling', 'adventure', 'coming', 'weeks']","['anticipate', 'thrill', 'adventure', 'come', 'week']",4,0.8863971
69,70,72, A bitter experience turned into a valuable lesson.      , Bitter       ,2023-02-17 15:00:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18.0,35.0, USA       ,2023,2,17,15,"['a', 'bitter', 'experience', 'turned', 'into', 'a', 'valuable', 'lesson']","['bitter', 'experience', 'turned', 'valuable', 'lesson']","['bitter', 'experience', 'turn', 'valuable', 'lesson']",4,0.88644195
70,71,73, Finding calmness in the midst of a busy day.            , Calmness     ,2023-02-18 09:30:00, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15.0,30.0, India     ,2023,2,18,9,"['finding', 'calmness', 'in', 'the', 'midst', 'of', 'a', 'busy', 'day']","['finding', 'calmness', 'midst', 'busy', 'day']","['find', 'calmness', 'midst', 'busy', 'day']",3,0.5666377
71,72,74, Confusion clouds my mind as I navigate through decisions., Confusion    ,2023-02-18 14:20:00, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25.0,50.0, UK   ,2023,2,18,14,"['confusion', 'clouds', 'my', 'mind', 'as', 'i', 'navigate', 'through', 'decisions']","['confusion', 'clouds', 'mind', 'navigate', 'decisions']","['confusion', 'cloud', 'mind', 'navigate', 'decision']",4,0.38407865
72,73,75, Excitement building up for the upcoming vacation!       , Excitement   ,2023-02-18 18:45:00, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22.0,45.0, Canada    ,2023,2,18,18,"['excitement', 'building', 'up', 'for', 'the', 'upcoming', 'vacation']","['excitement', 'building', 'upcoming', 'vacation']","['excitement', 'build', 'upcoming', 'vacation']",2,0.49522537
73,74,76, Kindness witnessed today restored my faith in humanity. , Kind         ,2023-02-19 11:30:00, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20.0,40.0, USA       ,2023,2,19,11,"['kindness', 'witnessed', 'today', 'restored', 'my', 'faith', 'in', 'humanity']","['kindness', 'witnessed', 'today', 'restored', 'faith', 'humanity']","['kindness', 'witness', 'today', 'restore', 'faith', 'humanity']",5,0.8382818
74,75,77, Pride in achieving a personal milestone.               , Pride        ,2023-02-19 16:00:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30.0,60.0, Australia    ,2023,2,19,16,"['pride', 'in', 'achieving', 'a', 'personal', 'milestone']","['pride', 'achieving', 'personal', 'milestone']","['pride', 'achieve', 'personal', 'milestone']",1,0.90752906
